coin,address,price_usd_2025-10-31
AURA,CMkj12qHC9RjAUs1MED38Bt7gfyP3TbEpa1mcBno3RUY,0.0000362637
AURA,0xc0c293ce456ff0ed870add98a0828dd4d2903dbf,0.0798885188
AURA,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2,0.0610323474
AURA,0x4381Bc7D5640bf514a508e2732eC522C650C414C,0.0559193142
BABYLUNA,0x6cd8ee38182d42e65deae25dd383e12f811faa4a,N/A
BABYLUNA,0xec9386c814234e217c1557cf49eee2c039f6c3d2,N/A
BABYTOSHI,0xd54Bf3470e7a09b6F860f90F35Ae053dB64d5657,N/A
BABYREI,0x445df6b5ecda18546b4d00b2434afc9970711939,N/A
BASEVERSE BY VIRTUALS,0x653ae9c4bbd160d98c354285a7c82a9536bfe728,N/A
BB,0x4F7Cc8eF14f3Dc76Ee2fB60028749E1B61CEa162,0.0013147652
BENJI,CPjDhhBpwEsLygNuczKcNwBPgMeni1xLomD48x51MyYU,0.0000713065
BIXBT,0x9dbc8ac29c0392f8bc2221d3b42c5523fc89b1b6,N/A
BOCHI,0x48bfc14bbce369f5144613a79609b4a3257f20b4,N/A
BRETT,0x80eE5c641A8fFC607545219a3856562F56427FE9,0.003603308
BRETT,0x532f27101965dd16442e59d40670faf5ebb142e4,0.023682993
BRETT,0x240D6FAF8c3B1A7394e371792A3bf9D28DD65515,0.0370415898
BRETT,DxtssVdyYe4wWE5f5zEgx2NqtDFbVL3ABGY62WCycHWg,0.0002762235
BRETT,0x66bFf695f3B16a824869a8018a3A6e3685241269,0.0000006858
BTRST,0x799ebfabe77a6e34311eeee9825190b9ece32824,0.1185637865
cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,104644.4769996095
CHATGPT,0x7a61c05d51ef2aca38cb94117cb701cd70f4d236,0.0000002203
CHATGPT,0xaed50e698b6b50c0e4406101e60bf7328e03554c,0.0000002203
CHILLLUNA,0x8a4422a7df99d87dc8d8ead22f56e2ffbfe2915b,N/A
CHLUNA,0x1ef37bbfd6491f928a4cfcb08666a09e8c156729,N/A
CHOMP,0xebfF2db643Cf955247339c8c6bCD8406308ca437,0.0173717545
CHRETT,0xF8a99F2bF2ce5bb6cE4aafcf070D8723bc904Aa2,0.0001042517
DEEPSEEK,0x7870bf33b34aac95f361ff7dec3b250746f63049,0.0001447115
ETH,0x9995de128a10c537695e45d8df40246bb1588eee,0
ETH,0x666E3ED8a1995b2F1972b0187983E75b0c8978aB,0.0000220958
GLUTEU,0x06a63c498ef95ad1fa4fff841955e512b4b2198a,0.0003833535
HAIR,0x9Ce115f0341ae5daBC8B477b74E83db2018A6f42,42.1964576749
KUDAI,0x288f4eb27400fa220d14b864259ad1b7f77c1594,0.000006199
HIGHER,0x0578d8A44db98B23BF096A382e016e29a5Ce0ffe,0.0019969131
LUNA,CrnJaG7NoCRecHqy1f9dp1rwHvWS6nGRLFt9Zcv8UV2Q,0.0000056391
LUNA,0x55cD6469F597452B5A7536e2CD98fDE4c1247ee4,0.0137483431
MAVIA,0x24fcFC492C1393274B6bcd568ac9e225BEc93584,0.0905213631
FLIPGG,0x2c5473fc7bfbe2fd496af6310d86f8d2ba5e342a,N/A
GOON,0xed7b04a3fdcc4b0718f76ab796d58f39212815cc,N/A
MOG,0x30c1d9b1cbd5590d6da01069a331e110482a8a91,0.0000003835
NAKI,0x49d74f78dcb3121c95d2035d73b60b51b4bb7d7e,N/A
NEET,0x7aae143eb979aec252fee9f7f17fdd6b17597a86,N/A
RICKY,0x09b052085E9C6291fbf0dfB0918C861bcb47Eb25,0.0000411
ROOST,0xeD899bfDB28c8ad65307Fa40f4acAB113AE2E14c,0.0002589763
SKYA,0x623cD3a3EdF080057892aaF8D773Bbb7A5C9b6e9,0.0024330797
RIZVUSDC,0x7bb8b0b176199b3313642dde3421e38e548d6570,N/A
SALUKI,0x26c69e4924bd0d7d52d680b33616042ee13f621c,N/A
USA,GAYCVRGZH2tHms1c5sCprE2JEbuz8tJ9ZxCNUX1cKwWR,0.0022019682
USA,0xb56d0839998fd79efcd15c27cf966250aa58d6d3,0.0000814022
USA,69kdRLyP5DTRkpHraaSZAQbWmAwzF9guKjZfzMXzcbAs,0.0000003399
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0000636022
SKIBRETT,0x39a271744ce588f6ae8707fe4f7a2ae3c3570a72,N/A
SKILUNA,0x54cf68f204ba798f8ed0287e66e4170d3c2b4892,N/A
VIRTUAL,0x44ff8620b8cA30902395A7bD3F2407e1A091BF73,1.459287472
VVV,0xacfE6019Ed1A7Dc6f7B508C02d1b04ec88cC21bf,1.325676735
VEVIRTUAL,0x14559863b6e695a8aa4b7e68541d240ac1bbeb2f,N/A
WDD,0xede54d9c024ee80c85ec0a75ed2d8774c7fbac9b,N/A
WGC,0x3d63825b0d8669307366e6c8202f656b9e91d368,N/A
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3577.6414664448
Web3,0xf45de5A6d02c4a6E050B90Add33ebf0A34D017e0,0.0000000016
